Lyrics,pos,pos_score,neg,neg_score,total,total_score
166번,긍정,8,부정,5,점수,3
167번,긍정,6,부정,6,점수,0
168번,긍정,7,부정,2,점수,5
169번,긍정,12,부정,7,점수,5
170번,긍정,9,부정,2,점수,7
171번,긍정,5,부정,7,점수,-2
172번,긍정,12,부정,5,점수,7
173번,긍정,4,부정,5,점수,-1
174번,긍정,13,부정,5,점수,8
175번,긍정,7,부정,6,점수,1
176번,긍정,5,부정,5,점수,0
177번,긍정,7,부정,4,점수,3
178번,긍정,18,부정,3,점수,15
179번,긍정,2,부정,7,점수,-5
180번,긍정,13,부정,0,점수,13
181번,긍정,5,부정,2,점수,3
182번,긍정,7,부정,6,점수,1
183번,긍정,3,부정,5,점수,-2
184번,긍정,10,부정,3,점수,7
185번,긍정,7,부정,8,점수,-1
186번,긍정,8,부정,13,점수,-5
187번,긍정,4,부정,5,점수,-1
188번,긍정,1,부정,0,점수,1
189번,긍정,6,부정,6,점수,0
190번,긍정,2,부정,1,점수,1
191번,긍정,7,부정,3,점수,4
192번,긍정,6,부정,5,점수,1
193번,긍정,2,부정,6,점수,-4
194번,긍정,8,부정,6,점수,2
195번,긍정,11,부정,6,점수,5
196번,긍정,3,부정,5,점수,-2
197번,긍정,7,부정,11,점수,-4
198번,긍정,2,부정,7,점수,-5
199번,긍정,10,부정,10,점수,0
200번,긍정,6,부정,1,점수,5
201번,긍정,5,부정,8,점수,-3
202번,긍정,5,부정,7,점수,-2
203번,긍정,4,부정,10,점수,-6
204번,긍정,0,부정,1,점수,-1
205번,긍정,2,부정,6,점수,-4
206번,긍정,3,부정,3,점수,0
207번,긍정,7,부정,15,점수,-8
208번,긍정,7,부정,13,점수,-6
209번,긍정,10,부정,13,점수,-3
210번,긍정,15,부정,9,점수,6
211번,긍정,5,부정,6,점수,-1
212번,긍정,2,부정,8,점수,-6
213번,긍정,5,부정,7,점수,-2
214번,긍정,9,부정,7,점수,2
215번,긍정,4,부정,7,점수,-3
216번,긍정,7,부정,15,점수,-8
217번,긍정,13,부정,14,점수,-1
218번,긍정,4,부정,8,점수,-4
219번,긍정,7,부정,8,점수,-1
220번,긍정,8,부정,6,점수,2
221번,긍정,3,부정,5,점수,-2
222번,긍정,6,부정,2,점수,4
223번,긍정,4,부정,9,점수,-5
224번,긍정,1,부정,8,점수,-7
225번,긍정,4,부정,4,점수,0
226번,긍정,3,부정,6,점수,-3
227번,긍정,9,부정,8,점수,1
228번,긍정,3,부정,9,점수,-6
229번,긍정,4,부정,7,점수,-3
230번,긍정,8,부정,8,점수,0
231번,긍정,5,부정,9,점수,-4
232번,긍정,1,부정,1,점수,0
233번,긍정,7,부정,7,점수,0
234번,긍정,0,부정,7,점수,-7
235번,긍정,2,부정,5,점수,-3
236번,긍정,2,부정,3,점수,-1
237번,긍정,8,부정,6,점수,2
238번,긍정,6,부정,8,점수,-2
239번,긍정,8,부정,12,점수,-4
240번,긍정,7,부정,3,점수,4
241번,긍정,10,부정,10,점수,0
242번,긍정,3,부정,12,점수,-9
243번,긍정,5,부정,8,점수,-3
244번,긍정,3,부정,7,점수,-4
245번,긍정,4,부정,8,점수,-4
246번,긍정,5,부정,12,점수,-7
247번,긍정,3,부정,5,점수,-2
248번,긍정,1,부정,9,점수,-8
249번,긍정,6,부정,7,점수,-1
250번,긍정,2,부정,11,점수,-9
251번,긍정,8,부정,14,점수,-6
252번,긍정,5,부정,11,점수,-6
253번,긍정,9,부정,15,점수,-6
254번,긍정,3,부정,10,점수,-7
255번,긍정,2,부정,7,점수,-5
256번,긍정,6,부정,10,점수,-4
257번,긍정,1,부정,6,점수,-5
258번,긍정,2,부정,10,점수,-8
259번,긍정,3,부정,8,점수,-5
260번,긍정,2,부정,3,점수,-1
261번,긍정,4,부정,5,점수,-1
262번,긍정,10,부정,12,점수,-2
263번,긍정,2,부정,4,점수,-2
264번,긍정,2,부정,3,점수,-1
265번,긍정,0,부정,2,점수,-2
266번,긍정,9,부정,14,점수,-5
267번,긍정,13,부정,9,점수,4
268번,긍정,4,부정,4,점수,0
269번,긍정,5,부정,3,점수,2
270번,긍정,6,부정,4,점수,2
271번,긍정,1,부정,6,점수,-5
272번,긍정,5,부정,3,점수,2
273번,긍정,4,부정,12,점수,-8
274번,긍정,6,부정,3,점수,3
275번,긍정,12,부정,17,점수,-5
276번,긍정,3,부정,5,점수,-2
277번,긍정,4,부정,14,점수,-10
278번,긍정,10,부정,7,점수,3
279번,긍정,7,부정,9,점수,-2
280번,긍정,3,부정,9,점수,-6
281번,긍정,8,부정,5,점수,3
282번,긍정,3,부정,6,점수,-3
283번,긍정,4,부정,4,점수,0
284번,긍정,6,부정,7,점수,-1
285번,긍정,5,부정,6,점수,-1
286번,긍정,6,부정,7,점수,-1
287번,긍정,4,부정,4,점수,0
288번,긍정,9,부정,8,점수,1
289번,긍정,8,부정,2,점수,6
290번,긍정,5,부정,11,점수,-6
291번,긍정,5,부정,4,점수,1
292번,긍정,8,부정,10,점수,-2
293번,긍정,7,부정,4,점수,3
294번,긍정,9,부정,12,점수,-3
295번,긍정,2,부정,4,점수,-2
296번,긍정,2,부정,8,점수,-6
297번,긍정,2,부정,0,점수,2
298번,긍정,6,부정,3,점수,3
299번,긍정,11,부정,17,점수,-6
300번,긍정,0,부정,0,점수,0
301번,긍정,8,부정,7,점수,1
302번,긍정,2,부정,5,점수,-3
303번,긍정,10,부정,8,점수,2
304번,긍정,2,부정,6,점수,-4
305번,긍정,12,부정,6,점수,6
306번,긍정,5,부정,6,점수,-1
307번,긍정,8,부정,10,점수,-2
308번,긍정,5,부정,15,점수,-10
309번,긍정,5,부정,5,점수,0
310번,긍정,3,부정,5,점수,-2
311번,긍정,3,부정,5,점수,-2
312번,긍정,5,부정,12,점수,-7
313번,긍정,5,부정,6,점수,-1
314번,긍정,4,부정,10,점수,-6
315번,긍정,5,부정,7,점수,-2
316번,긍정,6,부정,8,점수,-2
317번,긍정,4,부정,4,점수,0
318번,긍정,6,부정,17,점수,-11
319번,긍정,4,부정,7,점수,-3
320번,긍정,5,부정,3,점수,2
321번,긍정,11,부정,5,점수,6
322번,긍정,2,부정,5,점수,-3
323번,긍정,7,부정,5,점수,2
324번,긍정,14,부정,9,점수,5
325번,긍정,4,부정,11,점수,-7
326번,긍정,1,부정,8,점수,-7
327번,긍정,8,부정,6,점수,2
328번,긍정,4,부정,4,점수,0
329번,긍정,0,부정,0,점수,0
330번,긍정,4,부정,3,점수,1
331번,긍정,4,부정,7,점수,-3
332번,긍정,6,부정,7,점수,-1
333번,긍정,1,부정,1,점수,0
334번,긍정,7,부정,8,점수,-1
335번,긍정,3,부정,5,점수,-2
336번,긍정,3,부정,2,점수,1
337번,긍정,1,부정,1,점수,0
338번,긍정,8,부정,5,점수,3
339번,긍정,0,부정,12,점수,-12
340번,긍정,3,부정,8,점수,-5
341번,긍정,5,부정,6,점수,-1
342번,긍정,4,부정,6,점수,-2
343번,긍정,12,부정,16,점수,-4
344번,긍정,3,부정,6,점수,-3
345번,긍정,8,부정,10,점수,-2
346번,긍정,9,부정,6,점수,3
