Lyrics,pos,pos_score,neg,neg_score,total,total_score
162번,긍정,1,부정,1,점수,0
163번,긍정,5,부정,4,점수,-1
164번,긍정,3,부정,1,점수,-2
165번,긍정,10,부정,9,점수,-1
166번,긍정,4,부정,10,점수,6
167번,긍정,10,부정,9,점수,-1
168번,긍정,5,부정,4,점수,-1
169번,긍정,9,부정,8,점수,-1
170번,긍정,4,부정,1,점수,-3
171번,긍정,13,부정,2,점수,-11
172번,긍정,8,부정,1,점수,-7
173번,긍정,11,부정,6,점수,-5
174번,긍정,2,부정,2,점수,0
175번,긍정,6,부정,3,점수,-3
176번,긍정,10,부정,7,점수,-3
177번,긍정,2,부정,0,점수,-2
178번,긍정,10,부정,3,점수,-7
179번,긍정,6,부정,2,점수,-4
180번,긍정,8,부정,2,점수,-6
181번,긍정,4,부정,6,점수,2
182번,긍정,5,부정,4,점수,-1
183번,긍정,12,부정,4,점수,-8
184번,긍정,9,부정,3,점수,-6
185번,긍정,11,부정,7,점수,-4
186번,긍정,10,부정,2,점수,-8
187번,긍정,2,부정,4,점수,2
188번,긍정,1,부정,3,점수,2
189번,긍정,10,부정,3,점수,-7
190번,긍정,5,부정,1,점수,-4
191번,긍정,11,부정,2,점수,-9
192번,긍정,6,부정,2,점수,-4
193번,긍정,3,부정,5,점수,2
194번,긍정,7,부정,5,점수,-2
195번,긍정,4,부정,7,점수,3
196번,긍정,5,부정,9,점수,4
197번,긍정,4,부정,2,점수,-2
198번,긍정,7,부정,14,점수,7
199번,긍정,5,부정,8,점수,3
200번,긍정,5,부정,4,점수,-1
201번,긍정,0,부정,3,점수,3
202번,긍정,6,부정,8,점수,2
203번,긍정,5,부정,4,점수,-1
204번,긍정,4,부정,3,점수,-1
205번,긍정,6,부정,5,점수,-1
206번,긍정,1,부정,9,점수,8
207번,긍정,5,부정,9,점수,4
208번,긍정,4,부정,5,점수,1
209번,긍정,4,부정,7,점수,3
210번,긍정,3,부정,8,점수,5
211번,긍정,3,부정,8,점수,5
212번,긍정,7,부정,4,점수,-3
213번,긍정,3,부정,6,점수,3
214번,긍정,8,부정,4,점수,-4
215번,긍정,5,부정,8,점수,3
216번,긍정,10,부정,9,점수,-1
217번,긍정,0,부정,1,점수,1
218번,긍정,2,부정,6,점수,4
219번,긍정,4,부정,5,점수,1
220번,긍정,6,부정,9,점수,3
221번,긍정,6,부정,5,점수,-1
222번,긍정,1,부정,8,점수,7
223번,긍정,9,부정,12,점수,3
224번,긍정,3,부정,14,점수,11
225번,긍정,7,부정,1,점수,-6
226번,긍정,12,부정,6,점수,-6
227번,긍정,3,부정,4,점수,1
228번,긍정,7,부정,13,점수,6
229번,긍정,4,부정,9,점수,5
230번,긍정,2,부정,4,점수,2
231번,긍정,6,부정,9,점수,3
232번,긍정,11,부정,7,점수,-4
233번,긍정,4,부정,13,점수,9
234번,긍정,12,부정,9,점수,-3
235번,긍정,3,부정,5,점수,2
236번,긍정,3,부정,3,점수,0
237번,긍정,1,부정,3,점수,2
238번,긍정,6,부정,5,점수,-1
239번,긍정,2,부정,4,점수,2
240번,긍정,10,부정,17,점수,7
241번,긍정,9,부정,4,점수,-5
242번,긍정,1,부정,7,점수,6
243번,긍정,6,부정,1,점수,-5
244번,긍정,9,부정,6,점수,-3
245번,긍정,2,부정,6,점수,4
246번,긍정,3,부정,3,점수,0
247번,긍정,5,부정,3,점수,-2
248번,긍정,10,부정,4,점수,-6
249번,긍정,7,부정,5,점수,-2
250번,긍정,2,부정,2,점수,0
251번,긍정,4,부정,2,점수,-2
252번,긍정,4,부정,4,점수,0
253번,긍정,4,부정,5,점수,1
254번,긍정,2,부정,4,점수,2
255번,긍정,3,부정,3,점수,0
256번,긍정,5,부정,5,점수,0
257번,긍정,8,부정,3,점수,-5
258번,긍정,9,부정,5,점수,-4
259번,긍정,1,부정,6,점수,5
260번,긍정,11,부정,5,점수,-6
261번,긍정,2,부정,2,점수,0
262번,긍정,6,부정,7,점수,1
263번,긍정,11,부정,4,점수,-7
264번,긍정,3,부정,8,점수,5
265번,긍정,3,부정,3,점수,0
266번,긍정,9,부정,4,점수,-5
267번,긍정,4,부정,5,점수,1
268번,긍정,15,부정,8,점수,-7
269번,긍정,4,부정,2,점수,-2
