Lyrics,pos,pos_score,neg,neg_score,total,total_score
164번,긍정,10,부정,2,점수,8
165번,긍정,9,부정,6,점수,3
166번,긍정,2,부정,1,점수,1
167번,긍정,6,부정,2,점수,4
168번,긍정,7,부정,7,점수,0
169번,긍정,0,부정,1,점수,-1
170번,긍정,5,부정,5,점수,0
171번,긍정,7,부정,7,점수,0
172번,긍정,6,부정,7,점수,-1
173번,긍정,8,부정,8,점수,0
174번,긍정,9,부정,9,점수,0
175번,긍정,8,부정,11,점수,-3
176번,긍정,5,부정,8,점수,-3
177번,긍정,8,부정,6,점수,2
178번,긍정,10,부정,5,점수,5
179번,긍정,8,부정,8,점수,0
180번,긍정,10,부정,7,점수,3
181번,긍정,6,부정,8,점수,-2
182번,긍정,8,부정,9,점수,-1
183번,긍정,5,부정,7,점수,-2
184번,긍정,7,부정,11,점수,-4
185번,긍정,9,부정,7,점수,2
186번,긍정,9,부정,5,점수,4
187번,긍정,6,부정,8,점수,-2
188번,긍정,4,부정,10,점수,-6
189번,긍정,7,부정,5,점수,2
190번,긍정,8,부정,7,점수,1
191번,긍정,6,부정,10,점수,-4
192번,긍정,9,부정,8,점수,1
193번,긍정,8,부정,5,점수,3
194번,긍정,10,부정,7,점수,3
195번,긍정,5,부정,6,점수,-1
196번,긍정,5,부정,11,점수,-6
197번,긍정,9,부정,6,점수,3
198번,긍정,7,부정,4,점수,3
199번,긍정,6,부정,8,점수,-2
200번,긍정,7,부정,8,점수,-1
201번,긍정,9,부정,5,점수,4
202번,긍정,7,부정,3,점수,4
203번,긍정,5,부정,10,점수,-5
204번,긍정,7,부정,7,점수,0
205번,긍정,1,부정,4,점수,-3
206번,긍정,9,부정,9,점수,0
207번,긍정,7,부정,7,점수,0
208번,긍정,7,부정,7,점수,0
209번,긍정,7,부정,1,점수,6
210번,긍정,8,부정,5,점수,3
211번,긍정,4,부정,1,점수,3
212번,긍정,8,부정,4,점수,4
213번,긍정,7,부정,10,점수,-3
214번,긍정,5,부정,5,점수,0
215번,긍정,5,부정,8,점수,-3
216번,긍정,5,부정,5,점수,0
217번,긍정,5,부정,7,점수,-2
218번,긍정,9,부정,8,점수,1
219번,긍정,6,부정,5,점수,1
220번,긍정,5,부정,7,점수,-2
221번,긍정,5,부정,4,점수,1
222번,긍정,1,부정,4,점수,-3
223번,긍정,3,부정,7,점수,-4
224번,긍정,4,부정,6,점수,-2
225번,긍정,8,부정,5,점수,3
226번,긍정,7,부정,6,점수,1
227번,긍정,8,부정,10,점수,-2
228번,긍정,5,부정,7,점수,-2
229번,긍정,6,부정,7,점수,-1
230번,긍정,6,부정,6,점수,0
231번,긍정,0,부정,1,점수,-1
232번,긍정,7,부정,10,점수,-3
233번,긍정,9,부정,9,점수,0
234번,긍정,4,부정,10,점수,-6
235번,긍정,8,부정,5,점수,3
236번,긍정,6,부정,5,점수,1
237번,긍정,5,부정,7,점수,-2
238번,긍정,6,부정,9,점수,-3
239번,긍정,7,부정,5,점수,2
240번,긍정,4,부정,11,점수,-7
241번,긍정,7,부정,6,점수,1
242번,긍정,5,부정,7,점수,-2
243번,긍정,3,부정,10,점수,-7
244번,긍정,5,부정,10,점수,-5
245번,긍정,5,부정,6,점수,-1
246번,긍정,8,부정,6,점수,2
247번,긍정,6,부정,15,점수,-9
248번,긍정,10,부정,2,점수,8
249번,긍정,4,부정,7,점수,-3
250번,긍정,10,부정,6,점수,4
251번,긍정,7,부정,9,점수,-2
252번,긍정,8,부정,9,점수,-1
253번,긍정,5,부정,6,점수,-1
254번,긍정,7,부정,5,점수,2
255번,긍정,10,부정,10,점수,0
256번,긍정,4,부정,8,점수,-4
257번,긍정,7,부정,10,점수,-3
258번,긍정,5,부정,7,점수,-2
259번,긍정,4,부정,8,점수,-4
260번,긍정,10,부정,7,점수,3
261번,긍정,1,부정,1,점수,0
262번,긍정,8,부정,6,점수,2
263번,긍정,5,부정,7,점수,-2
264번,긍정,6,부정,6,점수,0
265번,긍정,7,부정,5,점수,2
266번,긍정,10,부정,4,점수,6
267번,긍정,8,부정,5,점수,3
268번,긍정,8,부정,7,점수,1
269번,긍정,10,부정,8,점수,2
270번,긍정,7,부정,6,점수,1
271번,긍정,5,부정,12,점수,-7
272번,긍정,8,부정,6,점수,2
273번,긍정,12,부정,8,점수,4
274번,긍정,7,부정,9,점수,-2
275번,긍정,6,부정,9,점수,-3
276번,긍정,8,부정,4,점수,4
277번,긍정,5,부정,7,점수,-2
278번,긍정,4,부정,7,점수,-3
279번,긍정,9,부정,3,점수,6
280번,긍정,0,부정,0,점수,0
281번,긍정,7,부정,11,점수,-4
282번,긍정,7,부정,8,점수,-1
283번,긍정,6,부정,13,점수,-7
284번,긍정,11,부정,3,점수,8
285번,긍정,8,부정,10,점수,-2
286번,긍정,6,부정,7,점수,-1
287번,긍정,7,부정,6,점수,1
288번,긍정,9,부정,5,점수,4
289번,긍정,7,부정,7,점수,0
290번,긍정,13,부정,10,점수,3
291번,긍정,6,부정,7,점수,-1
292번,긍정,7,부정,9,점수,-2
293번,긍정,9,부정,5,점수,4
294번,긍정,9,부정,9,점수,0
295번,긍정,4,부정,10,점수,-6
296번,긍정,3,부정,3,점수,0
297번,긍정,1,부정,5,점수,-4
298번,긍정,8,부정,3,점수,5
299번,긍정,4,부정,9,점수,-5
300번,긍정,9,부정,9,점수,0
301번,긍정,3,부정,7,점수,-4
302번,긍정,10,부정,5,점수,5
303번,긍정,6,부정,9,점수,-3
304번,긍정,8,부정,7,점수,1
305번,긍정,5,부정,8,점수,-3
306번,긍정,7,부정,9,점수,-2
307번,긍정,9,부정,10,점수,-1
308번,긍정,5,부정,12,점수,-7
309번,긍정,6,부정,7,점수,-1
310번,긍정,6,부정,5,점수,1
311번,긍정,9,부정,8,점수,1
312번,긍정,9,부정,4,점수,5
313번,긍정,4,부정,9,점수,-5
314번,긍정,8,부정,7,점수,1
315번,긍정,5,부정,3,점수,2
316번,긍정,3,부정,6,점수,-3
317번,긍정,9,부정,9,점수,0
318번,긍정,9,부정,8,점수,1
319번,긍정,5,부정,9,점수,-4
320번,긍정,7,부정,9,점수,-2
321번,긍정,4,부정,6,점수,-2
322번,긍정,3,부정,4,점수,-1
323번,긍정,3,부정,9,점수,-6
324번,긍정,7,부정,12,점수,-5
325번,긍정,3,부정,1,점수,2
326번,긍정,5,부정,7,점수,-2
327번,긍정,4,부정,9,점수,-5
328번,긍정,7,부정,15,점수,-8
329번,긍정,5,부정,6,점수,-1
330번,긍정,4,부정,8,점수,-4
331번,긍정,7,부정,7,점수,0
332번,긍정,9,부정,4,점수,5
333번,긍정,9,부정,6,점수,3
334번,긍정,8,부정,8,점수,0
335번,긍정,7,부정,8,점수,-1
336번,긍정,9,부정,5,점수,4
337번,긍정,4,부정,6,점수,-2
338번,긍정,1,부정,3,점수,-2
339번,긍정,4,부정,10,점수,-6
340번,긍정,10,부정,7,점수,3
341번,긍정,7,부정,8,점수,-1
342번,긍정,3,부정,5,점수,-2
343번,긍정,8,부정,6,점수,2
344번,긍정,9,부정,4,점수,5
345번,긍정,5,부정,6,점수,-1
346번,긍정,4,부정,5,점수,-1
347번,긍정,6,부정,7,점수,-1
348번,긍정,4,부정,6,점수,-2
349번,긍정,6,부정,10,점수,-4
350번,긍정,6,부정,4,점수,2
351번,긍정,12,부정,9,점수,3
352번,긍정,9,부정,5,점수,4
353번,긍정,3,부정,9,점수,-6
354번,긍정,2,부정,6,점수,-4
355번,긍정,11,부정,7,점수,4
